,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,찹쌀밥(30),부추재첩국,단배추멸치조림,팽이버섯부추나물,나박김치,S수제딸기우유,empty,꼬마김밥,단호박수제비,비빔만두,empty,열무물김치,S모카빵,S매실차,찹쌀팥밥,당근스프,미니돈까스,마카로니채소샐러드(마요네즈),깍두기
1,밤콩밥(30),아욱맑은국,연두부+양념장,맛살콩나물무침,석박지,S키위(50g),empty,밤콩밥,애호박젓국찌개,치즈닭갈비,사과상추겉절이,나박김치,S찐빵,S바나나쉐이크,잔멸치주먹밥,미니유부우동,채소옥수수튀김,양상추샐러드(발사믹드레싱),비트초절이
2,밤밥,감자채맑은국,메추리알곤약조림,오이볶음,열무김치,empty,S수제블루베리우유,밤콩밥,콩나물국,주꾸미채소간장볶음,모듬견과조림,백김치,S바나나(50g),S쌀음료,율무밥,콩나물국,닭안심사과볶음,얼갈이배추겉절이,나박김치
3,잡곡밥(30),깻잎국,삼치단호박조림,느타리버섯무침,나박김치,S고구마맛탕,empty,잡곡밥,감자달걀국,양상추샐러드(키위드레싱),empty,비트초절이,S치즈스틱,S매실주스,현미밥,애호박맑은국,주꾸미채소간장볶음,참나물겉절이,백김치
4,쌀밥,느타리버섯맑은국,브로콜리새우볶음,가지양념찜,배추김치,S자두(50g),S떠먹는요구르트(100ml),찹쌀밥,느타리버섯국,맛살꼬지전,도토리묵상추무침,깍두기,S감자샐러드,S우유(100ml),옥수수밥(30),조갯살아욱국,떡갈비간장조림,시금치나물,백김치
5,밤콩밥(30),닭살시금치국,돼지고기달걀장조림,파프리카유자청무침,열무물김치,S수제딸기우유,empty,일본식소고기덮밥(규동),우동국물,새우춘권튀김,고구마순된장무침,비트초절이,S무지개떡,S매실주스,찹쌀밥(추가),꼬치어묵국,애호박건새우볶음,당근참치마요무침,깍두기
6,수수밥,만두국,토마토달걀볶음,콩나물무침,배추김치,empty,S우유(150ml),해물우동볶음,우동국물,치킨까스,파인콘샐러드,깍두기,S우유(100ml),empty,찹쌀밥,두부탕국,주꾸미채소간장볶음,시금치나물,배추김치
7,밤밥,애호박맑은국,닭가슴살데리야끼조림,고구마순된장무침,동치미,S수제바나나우유,empty,콩밥,느타리버섯국,감자버터구이,가지양념무침,깍두기,S수제블루베리우유,S오렌지주스,찹쌀밥,만두국,새송이버섯전,검정콩호두조림,깍두기
8,찹쌀밥(추가),맑은순두부국,애호박버섯볶음,아몬드잔멸치조림,배추김치,empty,S우유(150ml),찹쌀보리밥,콩가루쑥국,옥수수치즈전,empty,깍두기,S우유(100ml),S오렌지주스,팥밥(30),차돌순두부백탕,아욱건새우전,empty,배추김치
9,밤콩밥(30),느타리버섯국,연두부+양념장,우엉채곤약조림,비트초절이,S떠먹는요구르트(100ml),empty,방울토마토새우볶음밥,유부장국,군만두,empty,단무지무침,S크로와상,S우유(150ml),율무밥,순두부찌개,주꾸미채소간장볶음,감자채볶음,깻잎김치
10,현미밥,조갯살된장국,삼색채소달걀찜,오이무침,나박김치,S수제딸기우유,S우유미숫가루,소고기굴소스볶음밥,맑은가쓰오부시장국,브로콜리흑임자소스무침,empty,석박지,S바나나사과키위샐러드,S단호박식혜,찹쌀팥밥,애호박국,(저염·저당)돼지갈비찜,얼갈이배추겉절이,비트초절이
11,옥수수밥(40),들깨미역국,두부양념조림,브로콜리애느타리무침,배추김치,S오렌지(50g),empty,시금치소고기덮밥,유부팽이국,옥수수치즈전,empty,깍두기,S머핀,S우유(100ml),찹쌀팥밥,맑은동태찌개,미트볼토마토소스조림,봄동나물,배추김치
12,잡곡밥,두부맑은된장국,조기구이,미나리숙주나물,배추김치,S참깨우유스프,empty,새우부추볶음밥,들깨버섯국,닭다리케첩조림,empty,깍두기,S단호박설기,S우유(100ml),찹쌀밥,만두닭개장,훈제오리숙주볶음,파프리카사과초무침,나박김치
13,쌀밥,두부전골,주꾸미채소간장볶음,숙주미나리나물,백김치,empty,S고구마쉐이크,돼지고기양배추덮밥,유부실파국,옥수수채소튀김,닭가슴살샐러드(머스타드소스),비트초절이,S키위(50g),S단호박식혜,찹쌀밥,모듬버섯찌개,(고춧가루제외)갈치조림,아욱나물무침,깍두기
14,쌀밥(30),팥죽,피망어묵볶음,느타리버섯나물,배추김치,S수제블루베리우유,empty,취나물표고영양밥,달걀파국,후르츠탕수육,empty,깍두기,S연근전,S오렌지주스,수수밥,북어미역국,소고기양송이볶음,미나리숙주나물,배추김치
15,찹쌀밥,팽이버섯맑은국,삼치양념구이,아욱나물무침,배추김치,S바나나(50g),empty,새우크림스파게티,empty,치킨너겟+토마토케첩,양상추샐러드,오이피클,empty,S우유미숫가루,팥밥,양파오징어국,돼지사태떡찜,연근채소전,배추김치
16,찹쌀밥,온도토리묵국,콘달걀찜,크래미채소볶음,나박김치,empty,S우유(150ml),완두콩밥,버섯찌개,순살간장닭갈비,아욱나물무침,나박김치,S단호박샐러드(마요네즈),S토마토주스,소고기가지덮밥,쑥갓어묵탕,연근전,empty,총각김치
17,팥밥,새우살미역국,연어구이+타르타르소스,마늘쫑무침,열무물김치,S키위(50g),empty,돼지고기채소볶음밥,애호박맑은국,당면김말이튀김,토마토치즈샐러드,비트초절이,S개피떡(40g),S우유(100ml),밤콩밥,된장찌개,소고기가지불고기,도라지무침,백김치
18,밤콩밥,두부장국,피망참치전,고구마순된장무침,나박김치,S수제딸기우유,S우유(100ml),찹쌀팥밥,감자국,소고기잡채,도라지나물,나박김치,S치즈스틱,S오렌지주스,율무밥,모듬버섯찌개,오징어채소완자전,콩나물무침,깍두기
19,밤찹쌀팥밥,달래맑은국,새우살달걀찜,애호박콩가루볶음,비트초절이,S고구마맛탕,S우유(200ml),찹쌀밥,건새우시금치국,닭다리살장조림,다시마감자채전,열무김치,empty,S우유미숫가루,옥수수밥,순두부찌개,훈제오리단호박볶음,파프리카유자청무침,깍두기
20,옥수수밥,두부애호박국,닭봉조림,숙주미나리나물,깍두기,S바나나사과키위샐러드,empty,백김치볶음밥,모듬버섯찌개,떡갈비구이,토마토범벅,오이소박이김치,S치즈,S고구마쉐이크,찹쌀밥,새우살무국,삼겹살김치볶음,참나물무침,나박김치
21,율무밥,콩나물어묵탕,조랭이떡소불고기,코울슬로,열무김치,S삶은달걀(50g),S우유(200ml),찹쌀밥,두부전골,삼치무간장조림,부추나물,총각김치,S바나나사과키위샐러드,empty,콩밥,모듬버섯찌개,차돌숙주볶음,숙주초무침,백김치
22,두부카레라이스,실파장국,empty,코울슬로,배추김치,S사과(50g),empty,콩밥,참치김치찌개,감자비엔나조림,애호박볶음,깍두기,S사과(50g),S단호박식혜,완두콩밥,만두국,주꾸미볶음,톳나물무침,나박김치
23,고구마밥,새우살시금치국,돼지고기단호박조림,파프리카양파볶음,동치미,S모닝빵,S오렌지주스(무가당),밤찹쌀팥밥,소갈비탕,돼지고기찹쌀구이(간장),참나물간장무침,단배추물김치,S우유미숫가루,S우유미숫가루,새우크림스파게티,empty,감자튀김,양배추샐러드(레몬드레싱),오이피클
24,찹쌀밥(추가),표고버섯탕,달걀시금치말이,어묵곤약조림,동치미,S찐고구마,S우유(100ml),일본식소고기덮밥(규동),새우살무국,흰살생선튀김,파프리카유자청무침,나박김치,S치즈스틱,S포도주스,닭살카레감자밥+양념장,맑은애호박국,오징어숙회,empty,깍두기
25,찹쌀밥,으깬두부된장국,명란달걀찜,애호박콩가루볶음,배추김치,empty,empty,장조림버터비빔밥,미니유부우동,채소옥수수튀김,콘샐러드,깍두기,S바나나사과키위샐러드,S우유(100ml),수수밥,소고기우거지국,삼치유자청구이,숙주미나리나물,배추김치
26,찹쌀밥,매생이두부국,동태무조림,연근흑임자샐러드,백김치,empty,S수제바나나우유,오이비빔국수,팽이장국,순살간장닭갈비,과일샐러드(요거트드레싱),배추김치,S키위(50g),S단호박식혜,찹쌀밥,버섯당면국,떡갈비피망조림,콩나물냉채,나박김치
27,수수밥,배추당면국,미트볼토마토소스조림,고구마순된장무침,백김치,S참외(100g),empty,소고기가지덮밥,미니유부우동,감자버터구이,양상추샐러드(키위드레싱),나박김치,S우유미숫가루,S우유(100ml),찹쌀팥밥,황태미역국,오삼불고기,팽이버섯나물,깍두기
28,고구마밥(40),만두국,돼지고기간장볶음,조미김,나박김치,S수제딸기우유,S요구르트,기장밥,새우살시금치국,양배추샐러드(레몬드레싱),empty,나박김치,S김치말이국수,empty,찹쌀밥,소갈비탕,채소튀김(고구마),맛살간장조림,깍두기
29,밤콩밥,두부미역국,닭다리케첩조림,파프리카유자청무침,배추김치,S당근스프,empty,일본식소고기덮밥(규동),미니어묵우동,감자치즈전,양배추샐러드,깍두기,empty,S수제블루베리우유,찹쌀밥,버섯채소전골,돼지고기찹쌀구이(간장),콩나물무침,배추김치
30,찹쌀밥(추가),맑은순두부국,소고기감자조림,비름나물,배추김치,S멜론퓨레,S치즈,양배추소시지덮밥,느타리버섯국,유자청두부샐러드,empty,깍두기,S수제비,empty,수수밥(30),콩나물육개장,새우파프리카볶음,애호박나물,배추김치
31,완두콩밥,콩비지맑은국,맛살스크램블에그,표고버섯무나물,백김치,S오렌지(50g),empty,짜장참치볶음밥,실파미소장국,파인애플탕수육+소스,empty,깍두기,S채소찐빵,S오렌지주스,완두콩밥,바지락된장국,순살간장닭갈비,아욱나물무침,배추김치
32,찹쌀밥,감자맑은된장국,메추리알곤약조림,다시마채무침,배추김치,S건포도감자볼,S토마토주스,돼지고기김치비빔밥,콩나물국,녹두전,empty,깍두기,S웨지감자구이,S미숫가루,밤콩밥(40),매생이홍합국,훈제오리구이,배무생채,배추김치
33,찹쌀밥(추가),닭살숙주국,아욱건새우전,톳나물무침,열무물김치,S사과(50g),empty,닭살카레감자밥+양념장,애호박국,옥수수치즈전,empty,비트초절이,S단호박식혜,S우유(200ml),팥밥(30),만두국,삼치간장조림,고구마순된장무침,열무김치
34,옥수수밥(30),볼어묵국,애호박볶음,다시마감자채전,열무김치,S건포도감자볼,empty,크림리조또,미소장국,치킨까스,양상추샐러드(오리엔탈드레싱),비트초절이,S쑥떡,S우유(100ml),찹쌀밥,두부콩나물국,김달걀말이,새송이버섯나물,S우유미숫가루
35,쌀밥,순두부백탕,돼지고기마늘간장볶음,청경채초무침,열무물김치,S(저당)씨리얼,S우유(100ml),열무비빔밥,대파된장찌개,너비아니구이,(고춧가루제외)노각무침,나박김치,S사과(50g),empty,찹쌀밥,두부콩나물국,삼치간장조림,고구마순된장무침,백김치
36,팥밥(30),애호박맑은국,미트볼토마토소스조림,팽이버섯나물,깍두기,S수제딸기우유,empty,일본식소고기덮밥(규동),감자국,채소튀김(고구마),empty,깍두기,S건포도감자볼,S우유미숫가루,옥수수밥,다슬기된장국,간장마파두부,냉이무침,나박김치
37,소고기김주먹밥,어묵맑은국,크래미채소볶음,얼갈이나물,오이소박이김치,S치즈,S떠먹는요구르트(100ml),찹쌀팥밥,미역장국,비빔만두,empty,깍두기,S샌드위치,S우유(100ml),찹쌀밥,감자수제비국,순살간장닭갈비,브로콜리초무침,총각김치
38,소고기김주먹밥,맑은가쓰오부시장국,시금치스크램블에그,마카로니오이샐러드,총각김치,S참외(100g),empty,가지채소볶음밥,두부감자국,주꾸미볶음,파인콘샐러드,나박김치,S오렌지(50g),S우유미숫가루,율무밥,순두부찌개,애호박생선살찜,김치녹두전,배추김치
39,옥수수밥(30),모듬어묵국,부추달걀볶음,우엉채곤약조림,깍두기,S사과(50g),S수제바나나우유,소고기가지덮밥,미역된장국,어묵구이+케첩,empty,깍두기,S건포도감자볼,S우유(100ml),찹쌀밥,김치맑은국,흰살생선전,취나물무침,깍두기
40,찹쌀밥(추가),애호박맑은국,돼지고기짜장볶음,고구마순된장무침,열무물김치,S수제딸기우유,empty,소고기가지덮밥,미역냉국,오징어링튀김,고구마순된장무침,비트초절이,S단호박샐러드,S우유(100ml),찹쌀밥,만두국,매콤낙지채소볶음,두부톳무침,깍두기
41,잡곡밥,부추바지락국,달걀찜(30g),양배추샐러드(레몬드레싱),깍두기,S청포도(100g),empty,새우파래볶음밥,완자탕,단호박채소전,파프리카스틱,배추김치,S청포도(100g),S우유미숫가루,현미찹쌀밥,두부김치국,주꾸미채소간장볶음,콩나물김무침,배추김치
42,옥수수밥(30),브로콜리스프,달걀프라이,파프리카사과초무침,깍두기,S우유미숫가루,S우유미숫가루,찹쌀밥,해물짬뽕국,파인애플탕수육+소스,양상추과일샐러드,깍두기,S바나나사과키위샐러드,S우유(200ml),밤찹쌀팥밥,두부전골,새우살파래전,느타리버섯나물,깍두기
43,쌀밥,들깨표고국,두부데리야끼구이,콩나물무침,배추김치,S포도(100g),empty,소고기가지덮밥,팽이버섯맑은국,김치녹두전,empty,깍두기,S포도(100g),S수제딸기우유,찹쌀밥,만두닭개장,주꾸미채소간장볶음,아욱나물무침,백김치
44,밤콩밥,맑은순두부국,팽이버섯달걀전,오이당근무침,나박김치,S단호박죽,empty,새우파래볶음밥,맑은장국,동그랑땡채소조림,empty,비트초절이,S찐감자,S수제바나나우유,율무밥,순두부찌개,채소크로켓,청포묵숙주김무침,깍두기
45,수수밥,조랭이떡미역국,소고기피망볶음,건새우애호박볶음,총각김치,empty,S수제블루베리우유,옥수수밥,미니유부우동,채소옥수수튀김,팽이버섯나물,오이피클,S키위(50g),S오렌지주스,찹쌀밥(추가),팽이버섯맑은국,매생이육전,단호박호두조림,콜라비나박김치
46,옥수수밥(30),새송이버섯국,콩자반,우엉채곤약조림,열무물김치,S우유미숫가루,empty,돼지고기양배추덮밥,유부실파국,해산물부추전,배무생채,나박김치,S쑥설기,S식혜,찹쌀밥,만두닭개장,주꾸미채소간장볶음,봄동나물,열무김치
47,흑미밥,팽이미소국,소고기장조림,양배추무침,깍두기,S귤(80g),S호두우유,일본식소고기덮밥(규동),"물만두국(달걀제외,가공만두)",연근채소전,오이부추생채,백김치,S청포도(100g),empty,김치영양밥,새우맑은국,제육짜장볶음,상추무생채,나박김치
48,고구마밥(40),떡만두국,단배추멸치조림,아욱나물무침,나박김치,S우유(100ml),S우유(100ml),돼지고기카레볶음밥,다시마채국,마카로니콘샐러드,empty,깍두기,S오렌지(50g),S쌀음료,율무밥,사골파국,오징어실채무침,버섯달걀볶음,깍두기
49,완두콩밥(40),감자옹심이국,단배추멸치조림,건파래무침,콜라비나박김치,S우유(100ml),empty,찹쌀밥,대합미역국,돼지고기채소구이,배무생채,배추김치,S건포도감자볼,empty,찹쌀밥,대합미역국,돼지고기케첩조림,버섯들깨나물,나박김치
50,찹쌀밥,팽이버섯맑은국,두부채소굴소스볶음,애호박나물,배추김치,empty,S수제딸기우유,돼지고기양배추덮밥,유부실파국,비빔만두,empty,깍두기,S건포도감자볼,S고로케,찹쌀밥(추가),닭개장,새우살들깨무침,콩나물무침,배추김치
51,율무밥,설렁탕,감자어묵조림,깻잎나물무침,깍두기,S우유(100ml),empty,찹쌀팥밥,홍합살미역국,유자소스가자미구이,(저염)연근조림,배추김치,S치즈,S토마토주스,소고기가지덮밥,미니우동,새우채소전,파프리카양파볶음,배추김치
52,수수밥(30),머위들깨국,볼어묵조림,양배추샐러드(레몬드레싱),나박김치,empty,empty,일본식소고기덮밥(규동),모듬버섯찌개,게맛살튀김,새싹채소샐러드(오리엔탈드레싱),비트초절이,S군만두,S우유(150ml),닭살카레감자밥+양념장,만두국,갈치구이,상추사과초무침,깍두기
53,쌀밥,팥죽,새우볼조림,상추사과초무침,비트초절이,S단감(50g),empty,일본식소고기덮밥(규동),시금치맑은국,주꾸미채소간장볶음,양상추샐러드(발사믹드레싱),오이피클,S바나나사과키위샐러드,empty,수수밥,조랭이떡미역국,소고기피망볶음,깻잎새콤무침,나박김치
54,수수밥(30),순두부백탕,감자당근채볶음,견과류시금치무침,배추김치,S우유(100ml),empty,밤콩밥,대합전복미역국,훈제오리단호박찜,양상추샐러드(키위드레싱),배추김치,S딸기(100g),S단호박식혜,쌀밥(추가),새송이버섯국,삼치쌈장조림,달걀찜(30g),깍두기
55,옥수수밥(30),매생이국,새우살달걀찜,애호박콩가루볶음,총각김치,empty,S우유(100ml),돼지고기양배추덮밥,호박맑은국,맛살구이,empty,깍두기,S방울토마토(35g),empty,찹쌀밥,버섯소고기국,소시지브로콜리볶음,콩나물무침,깍두기
56,옥수수밥(30),애호박젓국찌개,닭가슴살호두조림,달래김무침,배추김치,S당근스프,empty,찹쌀밥,실파달걀국,새우튀김,empty,깍두기,S과일샐러드(요거트드레싱),empty,일본식소고기덮밥(규동),낙지연포탕,두부케첩조림,연근흑임자샐러드,백김치
57,검정콩밥,어묵무국,새우살달걀찜,파래자반,배추김치,empty,S수제바나나우유,옥수수밥,애호박국,소고기사태장조림,연근채소전,열무물김치,S바람떡(40g),S단호박식혜,카레라이스,맑은가쓰오부시장국,알감자조림,양배추샐러드,깍두기
58,찹쌀밥,애호박국,두부양념조림,감자채볶음,콜라비나박김치,empty,S우유미숫가루,김치영양밥,달걀파국,녹두전,참나물볶음,깍두기,S과일샐러드(마요네즈),S요구르트,찹쌀밥,조갯살된장찌개,순살간장닭갈비,브로콜리초무침,배추김치
59,팥밥(40),갈은북어국,간장두부조림,느타리버섯나물,나박김치,S딸기(100g),empty,닭가슴살파프리카볶음밥,실파김국,감자고로케,empty,깍두기,S우유(100ml),S오렌지주스(무가당),찹쌀밥,두부전골,연어구이+타르타르소스,양상추샐러드(오리엔탈드레싱),비트초절이
60,옥수수밥(30),연두부새우탕,우엉소고기볶음,가지나물무침,비트초절이,empty,empty,오리훈제볶음밥,느타리버섯국,오징어튀김,브로콜리흑임자소스무침,열무물김치,S고구마맛탕,S단호박식혜,찹쌀밥,대합미역국,주꾸미채소간장볶음,고구마순된장무침,총각김치
61,팥밥(30),두부애호박국,두부채소굴소스볶음,양념가지찜,나박김치,S바나나(50g),S떠먹는요구르트(100ml),밥새우주먹밥,단호박된장국,닭꼬치,파프리카유자청무침,비트초절이,S찐감자,S우유(100ml),찹쌀밥,매생이홍합국,떡갈비피망조림,콩나물무침,열무물김치
62,현미밥,김치맑은국,게맛살파프리카볶음,양배추된장나물,열무물김치,S밤식빵,S수제바나나우유,해물볶음밥,실파장국,메추리알곤약조림,다시마채무침,비트초절이,S단팥빵,S떠먹는요구르트(100ml),찹쌀밥,다슬기된장국(올갱이국),소고기찹쌀구이,건새우볶음,얼갈이배추김치
63,수수밥,갈비탕+당면,삼치살데리야끼조림,양배추샐러드(참깨드레싱),열무물김치,empty,S우유(150ml),두부베이컨볶음밥,청경채맑은국,감자부추전,치커리겉절이,나박김치,S단팥빵,S송편,잡곡밥,김치국,소고기떡찜,오이소박이,동치미
64,수수밥(30),늙은호박국,감자어묵볶음,파래무침,비트초절이,S당근스틱,S떠먹는요구르트(100ml),돼지고기카레라이스,아욱된장국,모듬버섯전,콘채소샐러드,깍두기,S바나나핫케이크,S우유(100ml),콩밥,채소스프,새우까스+타르타르소스,브로콜리흑임자소스무침,총각김치
65,수수밥(30),만두국,브로콜리달걀찜,느타리버섯나물,백김치,S바나나(50g),empty,콩밥,버섯샤브샤브,생선까스+타르타르소스,양배추샐러드(레몬드레싱),깍두기,S찐감자,S수제블루베리우유,쌀밥(추가),새송이버섯국,소시지케첩조림,애호박건새우볶음,총각김치
66,팥밥(30),호박맑은국,새우살연근조림,미역줄기볶음,배추김치,S우유(100ml),empty,소고기채소볶음밥,느타리버섯국,콘채소전,empty,깍두기,S군고구마,S수제바나나우유,수수밥,아욱맑은국,삼겹살김치볶음,배무생채,깍두기
67,밤콩밥,새알미역국,두부케첩조림,실곤약채소무침,비트초절이,S팥죽,S우유(100ml),소고기가지덮밥,맑은가쓰오부시장국,닭살데리야끼구이,연근흑임자샐러드,깍두기,S치즈,S토마토주스,쌀밥,표고버섯탕,소불고기,애호박볶음,나박김치
68,찹쌀밥(추가),다시마감자국,닭가슴살데리야끼조림,단배추나물,콜라비나박김치,S수제블루베리우유,empty,소고기파프리카볶음밥,느타리버섯국,조랭이떡소불고기,empty,오이피클,S건포도감자볼,S우유(200ml),팥밥,두부전골,주꾸미채소간장볶음,아욱나물무침,석박지
69,고구마밥(30),바지락살순두부국,버섯애호박조림,브로콜리깨소스무침,배추김치,S바나나(100g),empty,취나물표고영양밥,들깨미역국,돼지고기장조림,empty,배추김치,S백설기,S단호박식혜,수수밥(30),쑥국,채소달걀말이,참나물배겉절이,깍두기
70,수수밥(30),감자국,곤약메추리알장조림,느타리버섯나물,석박지,S고구마맛탕,S우유(100ml),밤찹쌀팥밥,건새우무국,돼지갈비찜,empty,깍두기,S토마토두부샐러드,S유자차,밤찹쌀팥밥,감자탕,장산적조림,열무볶음,오이소박이김치
71,찹쌀밥,애호박새우젓국,소고기피망볶음,치즈감자조림,나박김치,S밤식빵,S우유(100ml),닭가슴살굴소스볶음밥,미니유부우동,채소옥수수튀김,사과샐러드(마요네즈),동치미,empty,S수제바나나우유,팥밥,맑은짬뽕국,(저염·저당)돼지갈비찜,참나물배겉절이,깍두기
72,옥수수밥(30),감자호박국,참치달걀말이,empty,오이소박이김치,S게살죽,empty,살코기납작김밥,시락국,해물우동숙주볶음,empty,동치미,S고구마맛탕,S수제딸기우유,율무밥,사골파국,삼치살무조림,느타리버섯나물,단배추물김치
73,옥수수밥,애호박국,어묵당근볶음,얼갈이무침,나박김치,S치즈,empty,열무비빔밥,탕국,순두부+양념장,가지양념찜,나박김치,S사과(50g),S우유미숫가루,찹쌀밥,조랭이떡미역국,돼지고기찹쌀구이(간장),열무볶음,깍두기
74,밤콩밥(30),느타리버섯국,으깬두부채소전,건새우애호박볶음,깍두기,S치즈,empty,돼지고기양배추덮밥,꼬치어묵국,가지양념찜,empty,열무물김치,S크림소스스파게티,S매실주스,팥밥(30),콩나물국,떡갈비간장조림,단배추된장무침,비트초절이
75,불고기주먹밥,사골파국,닭살브로콜리볶음,토마토범벅,오이소박이김치,S멜론(50g),S식혜,밤콩밥,닭개장,안매운오삼불고기,도라지나물,배추김치,empty,S우유미숫가루,닭살카레감자밥+양념장,애호박국,모듬버섯전,진미채무말랭이무침,비트초절이
76,밤콩밥,느타리버섯국,어묵감자조림,고구마순된장무침,백김치,S사과(50g),S우유미숫가루,소고기가지덮밥,유부실파국,채소크로켓,애호박나물,열무물김치,S백설기,S고구마쉐이크,율무밥,버섯개장,훈제오리구이,양상추샐러드(키위드레싱),백김치
77,밤콩밥(30),느타리버섯국,피망어묵볶음,양념가지찜,나박김치,S수제딸기우유,empty,돼지고기양배추덮밥,팽이버섯맑은국,메밀봄동전,empty,깍두기,S건포도감자볼,S망고주스,율무밥,두부전골,간장돼지불고기,파래무침,총각김치
78,콩밥,쑥완자탕,순살간장닭갈비,아욱나물무침,파김치,S딸기(100g),S우유(100ml),채소주먹밥,다시마감자국,아몬드잔멸치볶음,녹두전,단무지,S참외샐러드,S요구르트,쌀밥,찹쌀옹심이국,닭살카레조림,모듬버섯나물,열무김치
79,수수밥(30),모듬버섯찌개,소불고기,감자채볶음,배추김치,S우유미숫가루,empty,소고기가지덮밥,다시마감자국,검은깨고구마맛탕,empty,깍두기,S흑임자떡,S우유(100ml),옥수수밥,모듬버섯찌개,매생이육전,콩나물냉채,배추김치
80,쌀밥(30),조랭이떡미역국,간장두부조림,느타리버섯나물,배추김치,empty,S우유(150ml),닭살카레감자밥+양념장,애호박맑은국,양배추샐러드(사우전아일랜드드레싱),고구마순된장무침,깍두기,S오렌지(50g),empty,찹쌀팥밥,만두국,순살간장닭갈비,오이무침,배추김치
81,찹쌀현미밥,바지락파래국,두부구이,일미무침,배추김치,S오렌지(50g),empty,일본식소고기덮밥(규동),김치두부국,돼지고기강정+소스,찐감자,열무물김치,S꿀호떡,S오렌지주스,옥수수밥,모듬버섯국,순살닭볶음탕,참나물무침,배추김치
